year,fulltime_men_applied,fulltime_women_applied,fulltime_men_admitted,fulltime_women_admitted,fulltime_men_enrolled,fulltime_women_enrolled
2018,45636.00,52265.00,13781.00,15821.00,3220.00,3484.00
2017,41583.00,46845.00,13981.00,16231.00,2725.00,2974.00
2016,39779.00,44430.00,14103.00,16170.00,2669.00,3077.00
2015,37009.00,41047.00,12748.00,13761.00,2711.00,2581.00
2014,34618.00,38822.00,11758.00,12837.00,2538.00,2383.00
2013,31992.00,35408.00,11866.00,12966.00,2616.00,2612.00
2012,28758.00,32049.00,10917.00,12046.00,2328.00,2245.00
2011,25097.00,28351.00,8707.00,10269.00,1583.00,1861.00
2010,22332.00,25761.00,8365.00,9991.00,1858.00,2089.00
2009,21725.00,25321.00,7816.00,9863.00,1695.00,2054.00
2008,21590.00,25775.00,8517.00,11200.00,1893.00,2399.00
2007,20566.00,24507.00,8419.00,10759.00,1838.00,2303.00
2006,19838.00,23748.00,9210.00,12135.00,2031.00,2558.00
2005,18147.00,22371.00,7580.00,10311.00,1607.00,2113.00
